system,label,metric,score,split,prediction_files,verification_status
phobert_finetune,PhoBERT fine-tune,implicit_sentiment,60.847,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/phobert_finetune/20260520.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/phobert_finetune/20260521.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/phobert_finetune/20260522.jsonl,complete
phobert_finetune,PhoBERT fine-tune,sarcasm,77.3724,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/phobert_finetune/20260520.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/phobert_finetune/20260521.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/phobert_finetune/20260522.jsonl,complete
phobert_finetune,PhoBERT fine-tune,irony,96.3217,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/phobert_finetune/20260520.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/phobert_finetune/20260521.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/phobert_finetune/20260522.jsonl,complete
phobert_finetune,PhoBERT fine-tune,idiom_figurative,97.2958,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/phobert_finetune/20260520.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/phobert_finetune/20260521.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/phobert_finetune/20260522.jsonl,complete
phobert_finetune,PhoBERT fine-tune,code_switching,78.9872,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/phobert_finetune/20260520.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/phobert_finetune/20260521.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/phobert_finetune/20260522.jsonl,complete
phobert_finetune,PhoBERT fine-tune,mocking,79.4542,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/phobert_finetune/20260520.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/phobert_finetune/20260521.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/phobert_finetune/20260522.jsonl,complete
phobert_finetune,PhoBERT fine-tune,macro_pragmatic_f1,81.713,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/phobert_finetune/20260520.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/phobert_finetune/20260521.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/phobert_finetune/20260522.jsonl,complete
xlmr_large,XLM-R-large,implicit_sentiment,58.3006,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/xlmr_large/20260520.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/xlmr_large/20260521.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/xlmr_large/20260522.jsonl,complete
xlmr_large,XLM-R-large,sarcasm,79.4915,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/xlmr_large/20260520.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/xlmr_large/20260521.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/xlmr_large/20260522.jsonl,complete
xlmr_large,XLM-R-large,irony,96.853,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/xlmr_large/20260520.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/xlmr_large/20260521.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/xlmr_large/20260522.jsonl,complete
