anchor,claim,source_file,json_path,source_sha256
Table2.phobert_finetune.code_switching,"PhoBERT fine-tune code_switching = 78.99 [78.34, 79.63]",results/main_pragmatic.json,$.systems.phobert_finetune.metrics.code_switching.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.phobert_finetune.idiom_figurative,"PhoBERT fine-tune idiom_figurative = 97.30 [97.20, 97.39]",results/main_pragmatic.json,$.systems.phobert_finetune.metrics.idiom_figurative.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.phobert_finetune.implicit_sentiment,"PhoBERT fine-tune implicit_sentiment = 60.85 [59.53, 62.16]",results/main_pragmatic.json,$.systems.phobert_finetune.metrics.implicit_sentiment.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.phobert_finetune.irony,"PhoBERT fine-tune irony = 96.32 [95.73, 96.91]",results/main_pragmatic.json,$.systems.phobert_finetune.metrics.irony.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.phobert_finetune.macro_pragmatic_f1,"PhoBERT fine-tune macro_pragmatic_f1 = 81.71 [81.48, 81.94]",results/main_pragmatic.json,$.systems.phobert_finetune.metrics.macro_pragmatic_f1.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.phobert_finetune.mocking,"PhoBERT fine-tune mocking = 79.45 [78.33, 80.58]",results/main_pragmatic.json,$.systems.phobert_finetune.metrics.mocking.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.phobert_finetune.sarcasm,"PhoBERT fine-tune sarcasm = 77.37 [76.06, 78.68]",results/main_pragmatic.json,$.systems.phobert_finetune.metrics.sarcasm.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.xlmr_large.code_switching,"XLM-R-large code_switching = 72.16 [62.94, 81.38]",results/main_pragmatic.json,$.systems.xlmr_large.metrics.code_switching.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.xlmr_large.idiom_figurative,"XLM-R-large idiom_figurative = 97.30 [97.20, 97.39]",results/main_pragmatic.json,$.systems.xlmr_large.metrics.idiom_figurative.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.xlmr_large.implicit_sentiment,"XLM-R-large implicit_sentiment = 58.30 [56.05, 60.55]",results/main_pragmatic.json,$.systems.xlmr_large.metrics.implicit_sentiment.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
